Timestamp,Umidade,Temp1,Temp2
2025/12/05 21:50:53;58,00;25,42;24,47
2025/12/05 21:55:55;58,00;25,90;24,96
2025/12/05 22:00:56;57,00;25,90;24,96
2025/12/05 22:05:57;57,00;25,90;24,96
2025/12/05 22:10:59;57,00;25,42;24,96
2025/12/05 22:15:30;57,00;25,42;24,96
2025/12/05 22:20:31;57,00;25,42;24,96
2025/12/05 22:25:33;57,00;25,42;24,96
2025/12/05 22:30:34;57,00;25,42;24,47
2025/12/05 22:35:35;56,00;24,93;24,47
2025/12/05 22:40:37;56,00;24,93;24,47
2025/12/05 22:45:38;56,00;24,93;24,47
2025/12/05 22:50:40;56,00;24,93;23,98
2025/12/05 22:55:41;56,00;24,93;23,98
2025/12/05 23:00:43;56,00;24,44;23,98
2025/12/05 23:05:44;56,00;24,44;23,98
2025/12/05 23:10:46;56,00;24,44;23,98
2025/12/05 23:15:47;56,00;24,44;23,98
2025/12/05 23:20:49;56,00;24,44;23,98
2025/12/05 23:25:50;56,00;24,44;23,98
2025/12/05 23:30:52;55,00;24,44;23,98
2025/12/05 23:35:53;55,00;24,44;23,49
2025/12/05 23:40:55;55,00;24,44;23,98
2025/12/05 23:45:56;55,00;24,44;23,49
2025/12/05 23:50:58;55,00;24,44;23,49
2025/12/05 23:55:59;54,00;23,95;23,49
2025/12/06 00:00:30;55,00;23,95;23,49
2025/12/06 00:05:32;54,00;23,95;23,49
2025/12/06 00:10:33;54,00;23,95;23,49
2025/12/06 00:15:35;54,00;23,95;23,01
2025/12/06 00:20:36;55,00;23,95;23,49
2025/12/06 00:25:38;54,00;23,46;23,01
2025/12/06 00:30:39;53,00;23,46;23,01
2025/12/06 00:35:41;54,00;23,46;23,01
2025/12/06 00:40:42;54,00;23,46;23,01
2025/12/06 00:45:43;53,00;23,46;23,01
2025/12/06 00:50:45;53,00;23,46;22,52
2025/12/06 00:55:47;53,00;23,46;22,52
2025/12/06 01:00:48;54,00;22,97;22,52
2025/12/06 01:05:50;53,00;22,97;22,52
2025/12/06 01:10:51;53,00;23,46;22,52
2025/12/06 01:15:53;53,00;22,97;22,52
2025/12/06 01:20:54;53,00;22,97;22,52
2025/12/06 01:25:56;53,00;22,97;22,03
2025/12/06 01:30:57;53,00;22,97;22,03
2025/12/06 01:35:59;53,00;22,97;22,03
2025/12/06 01:40:30;53,00;22,97;22,03
2025/12/06 01:45:32;52,00;22,97;22,03
2025/12/06 01:50:34;52,00;22,48;22,03
2025/12/06 01:55:35;52,00;22,48;21,54
2025/12/06 02:00:36;52,00;22,48;22,03
2025/12/06 02:05:38;52,00;22,48;22,03
2025/12/06 02:10:39;52,00;22,48;21,54
2025/12/06 02:15:41;52,00;22,48;21,54
2025/12/06 02:20:42;52,00;22,48;21,54
2025/12/06 02:25:44;52,00;21,99;21,54
2025/12/06 02:30:45;52,00;21,99;21,54
2025/12/06 02:35:47;52,00;21,99;21,54
2025/12/06 02:40:48;52,00;21,99;21,05
2025/12/06 02:45:50;52,00;21,99;21,05
2025/12/06 02:50:51;52,00;21,51;21,05
2025/12/06 02:55:53;52,00;21,51;21,05
2025/12/06 03:00:55;51,00;21,51;20,56
2025/12/06 03:05:56;52,00;21,51;20,56
2025/12/06 03:10:58;52,00;21,02;20,07
2025/12/06 03:15:59;51,00;21,51;20,56
2025/12/06 03:20:31;51,00;21,51;21,05
2025/12/06 03:25:32;51,00;21,99;21,05
2025/12/06 03:30:34;51,00;21,99;21,05
2025/12/06 03:35:35;51,00;21,99;21,05
2025/12/06 03:40:37;51,00;21,99;21,05
2025/12/06 03:45:38;51,00;21,99;21,05
2025/12/06 03:50:40;51,00;21,51;21,05
2025/12/06 03:55:41;51,00;21,51;21,05
2025/12/06 04:00:43;51,00;21,51;21,05
2025/12/06 04:05:44;50,00;21,51;21,05
2025/12/06 04:10:46;50,00;21,51;21,05
2025/12/06 04:15:47;50,00;21,51;20,56
2025/12/06 04:20:49;50,00;21,51;21,05
2025/12/06 04:25:50;50,00;21,51;21,05
2025/12/06 04:30:52;50,00;21,99;21,05
2025/12/06 04:35:53;50,00;21,51;21,05
2025/12/06 04:40:55;49,00;21,51;20,07
